,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_022061605,S,R,,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022061625,R,R,R,R,R,R,S,R,R,S,R,R,,R,R,I,R
GCA_022061645,S,,R,S,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022061665,S,,R,R,S,R,I,S,R,S,R,S,,R,R,S,S
GCA_022061685,S,I,R,S,R,S,S,S,S,S,S,S,,R,R,S,S
GCA_022061705,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,R
GCA_022061725,R,R,R,R,R,R,R,S,R,S,R,S,,R,R,S,S
GCA_022061745,S,,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022061765,R,R,R,S,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022061785,S,,I,R,R,R,R,I,S,I,R,S,,R,R,S,S
GCA_022061805,S,,I,R,R,R,R,S,S,S,R,S,,R,R,S,S
GCA_022061825,R,,I,R,I,S,I,S,R,S,S,S,,R,R,S,S
GCA_022061845,R,,R,R,R,R,R,S,S,S,R,S,,R,R,S,S
GCA_022061865,S,,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022061885,S,,R,R,R,R,S,R,I,S,R,R,,R,R,R,R
GCA_022061905,R,R,R,R,R,R,I,S,R,S,R,S,,R,R,S,R
GCA_022061985,S,,R,R,R,R,I,S,R,S,S,S,,R,R,S,S
GCA_022062005,S,R,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022062025,R,R,R,R,R,R,I,R,S,S,R,S,,R,R,S,R
GCA_022062045,S,,R,R,R,R,S,R,I,S,R,S,,R,R,S,I
GCA_022062065,S,R,R,R,R,R,S,R,I,S,R,R,,R,R,R,R
GCA_022062085,S,R,R,R,R,R,I,S,R,S,R,S,,R,R,S,S
GCA_022062105,R,,R,R,R,R,R,S,R,S,R,S,,R,R,S,S
GCA_022062125,S,R,S,R,R,I,I,S,R,S,S,S,,R,R,S,I
